ad_id,make,model,year,price,km,fuel_type,gear_type,engine_volume,previous_owners,location,description
1,מאזדה,3,2018,42000,85000,בנזין,אוטומטי,1500,1,תל אביב,"רכב שמור מאוד, מטופל במוסך מורשה, חסכוני בדלק, מתאים לנהג צעיר."
2,טויוטה,יאריס,2019,38000,62000,בנזין,אוטומטי,1000,1,חיפה,"רכב קטן וחסכוני, אידיאלי לעיר, יד ראשונה, מצב מצוין."
3,יונדאי,i35,2016,34000,110000,בנזין,ידני,1600,2,באר שבע,"רכב משפחתי מרווח, תוספות רבות, מצב טוב, מתאים לנסיעות יומיומיות."
4,סקודה,אוקטביה,2020,68000,45000,דיזל,אוטומטי,2000,1,ירושלים,"רכב חסכוני בדלק, מטופל במוסך מורשה, מתאים לנסיעות ארוכות."
5,קיה,Sportage,2017,55000,92000,בנזין,אוטומטי,2000,2,רמת גן,"רכב פנאי גבוה, 4x4, מתאים למשפחה, במצב מצוין."
6,הונדה,Civic,2021,79000,28000,היברידי,אוטומטי,2000,1,פתח תקווה,"רכב חסכוני בדלק, יד ראשונה, ללא תאונות, מתאים לסטודנט."
7,ב.מ.וו,320i,2018,128000,74000,בנזין,אוטומטי,2000,2,תל אביב,"רכב יוקרתי, שמור מאוד, מטופל במוסך מורשה, ללא תאונות."
8,סובארו,Forester,2019,99000,65000,בנזין,אוטומטי,2500,1,מודיעין,"ג'יפ משפחתי 4x4, מתאים לשטח, יד ראשונה, במצב מצוין."
9,סוזוקי,Jimny,2020,109000,48000,בנזין,ידני,1500,1,ירושלים,"רכב שטח 4x4, קצר וזריז, ללא תאונות, יד ראשונה."
10,טויוטה,Corolla,2022,89000,22000,היברידי,אוטומטי,1800,1,חיפה,"רכב חסכוני בדלק, משפחתי, יד ראשונה, טסט ארוך."
11,ניסאן,Qashqai,2018,76000,70000,דיזל,אוטומטי,1600,2,ראשון לציון,"רכב משפחתי מרווח, מתאים לנסיעות ארוכות, מטופל במוסך מורשה."
12,פיג'ו,2008,2021,84000,39000,בנזין,אוטומטי,1200,1,תל אביב,"רכב עירוני חסכוני, נוח לנהג צעיר, יד ראשונה."
13,קיה,Picanto,2020,43000,54000,בנזין,אוטומטי,1000,1,באר שבע,"רכב קטן וחסכוני, יד ראשונה, מתאים לעיר."
14,מיצובישי,Outlander,2017,88000,87000,בנזין,אוטומטי,2400,2,נתניה,"רכב משפחתי גדול, 7 מושבים, 4x4, מצב מצוין."
15,אודי,A4,2019,149000,118000,בנזין,אוטומטי,2000,2,תל אביב,"רכב יוקרתי, מטופל במוסך מורשה, ללא תאונות."
16,וולוו,XC60,2020,142000,73000,דיזל,אוטומטי,2000,1,הרצליה,"רכב משפחתי יוקרתי, בטיחותי, מתאים לנסיעות ארוכות, יד ראשונה."
17,פורד,Focus,2018,47000,51000,בנזין,ידני,1600,1,חיפה,"רכב אמין, חסכוני בדלק, יד ראשונה, מצב טוב."
18,רנו,Captur,2021,68000,30000,היברידי,אוטומטי,1300,1,ירושלים,"רכב עירוני חסכוני, משפחתי, נוח לתפעול, טסט ארוך."
19,סיאט,Ibiza,2019,31000,49000,בנזין,אוטומטי,1000,1,חולון,"רכב קטן, חסכוני, נוח לנהג צעיר, טסט ארוך."
20,לקסוס,NX,2020,149000,26000,היברידי,אוטומטי,2500,1,רעננה,"רכב יוקרתי, משפחתי, חסכוני בדלק, מטופל במוסך מורשה."
